Id,Name,Symbol,Slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap
2280,Filecoin,FIL,filecoin,428,2017-12-13 00:00:00,,501376733,1960956269,5.07355509,135745009.05927350,-1.33900000,0.45525343,-4.38443057,2.74038560,-34.03867456,11.01691251,32.69590467,2543762476.21250300,0.15320000,9949019661.78000000
2416,Theta Network,THETA,theta-network,177,2018-01-17 00:00:00,1000000000,1000000000,1000000000,0.98110510,20560940.49504911,16.74890000,0.54175568,-5.43667849,3.21240020,-24.14337323,-10.20134549,31.52303703,981105095.02080100,0.05920000,981105095.02000000
2563,TrueUSD,TUSD,trueusd,514,2018-03-06 00:00:00,,1488457472,1488457472,0.98907032,84642261.87226431,-6.32890000,0.07469800,-0.08875368,0.35197217,-1.00082569,-0.98943533,-1.00081409,1472189113.98380350,0.08870000,1472189113.98000000
2586,Synthetix,SNX,synthetix,558,2018-03-14 00:00:00,,304452173,328193104,3.12914708,26283377.13299081,-14.05140000,0.57703643,-4.11250191,-1.15610748,-20.64855624,-14.18165582,33.75054776,952675628.00281640,0.05750000,1026964493.53000000
2634,XDC Network,XDC,xdc-network,66,2018-04-12 00:00:00,,13895121383,37705012699,0.04350478,23726053.05329046,-15.44640000,0.28338834,-2.70405858,-3.39488951,-25.59791225,-10.21153420,-16.14731777,604504227.05496850,0.03640000,1640348358.91000000
3077,VeChain,VET,vechain,268,2017-08-22 00:00:00,,72714516834,85985041177,0.02842283,34000630.20665768,-16.43470000,0.09039800,-2.79831599,5.41508549,-19.88918924,24.78052071,50.75302147,2066752106.84467430,0.12470000,2443937919.79000000
3155,Quant,QNT,quant,226,2018-08-10 00:00:00,14881364,12072738,14881364,104.22870727,21200494.98903905,28.98360000,-0.28566529,-3.21087295,-1.76312268,-25.33738356,4.43211568,5.18490538,1258325874.93329260,0.07580000,1551065332.11000000
3408,USDC,USDC,usd-coin,16478,2018-10-08 00:00:00,,26777695455,26777695455,1.00022018,6712767115.31950800,25.37660000,-0.01424422,0.00612868,0.02784103,0.00233898,0.03014230,0.01927978,26783591436.31512000,1.61500000,26783591436.32000000
3513,Fantom,FTM,fantom,605,2018-10-29 00:00:00,3175000000,2803634836,3175000000,0.36448011,71322250.48596635,7.84590000,0.61318813,-6.91677504,7.31999599,-27.96696062,14.29178922,52.24064024,1021869133.21329750,0.06160000,1157224349.21000000
3602,Bitcoin SV,BSV,bitcoin-sv,229,2018-11-09 00:00:00,,19621938,19621938,70.30198304,66217841.66302507,-21.18890000,0.55166413,-3.93829705,-1.91500093,-31.34769459,46.81469877,41.56097261,1379461117.27720480,0.08320000,1379461117.28000000
3635,Cronos,CRO,cronos,226,2018-12-14 00:00:00,30263013692,25263013692,30263013692,0.08223305,8237289.71632278,-4.72950000,0.65194675,-2.40557164,4.44924865,-16.36449709,-9.45218725,29.93579664,2077454679.71510200,0.12530000,2488619932.02000000
3794,Cosmos,ATOM,cosmos,690,2019-03-14 00:00:00,,384882884,384882884,9.23651376,130576084.27383249,28.85640000,0.60639016,-3.98400393,-0.98003979,-15.81141798,-2.74608950,20.67749306,3554976052.30579300,0.21400000,3554976052.31000000
